epoch,train_loss_d,train_loss_g,val_loss_d,val_loss_g,val_aux_acc,lr_g,lr_d
0,786.9742701444648,97.81473203604205,-244.91282006019358,201.19449234214613,0.9299825682742592,0.0002,0.0002
1,-190.76658019742553,144.02472057646662,-282.87699676270483,85.41677792402604,0.9779198140615921,0.0002,0.0002
2,-215.2317452137454,129.1917199675749,-306.1967864113744,91.58077590428141,0.996970200049805,0.0002,0.0002
3,-209.40546766663468,105.64167879925773,-328.92837789134484,61.20346791249267,0.9972607288121524,0.0002,0.0002
4,-287.26080458147925,110.04596540325052,-354.1419418758007,55.298963454053286,1.0,0.0002,0.0002
5,-290.43506961205554,99.5692014064224,-311.6496795105857,-13.34170128353762,0.8739935253590105,0.0002,0.0002
6,-269.998309974111,78.36029439091953,-419.2221940319954,59.68327748707204,1.0,0.0002,0.0002
7,-299.91973502435013,54.12394968686723,-339.60206017914163,5.152049741354524,1.0,0.0002,0.0002
8,-275.76182593082785,61.01448533203716,-313.2612365832851,-33.755860460104365,1.0,0.0002,0.0002
9,-284.8046204908019,57.99328887951401,-353.8643182802173,30.61752699675615,1.0,0.0002,0.0002
10,-268.0376217544486,54.17862086802517,-310.1716353368233,-29.517179792764683,1.0,0.0002,0.0002
11,-263.7153560919751,55.666543936912724,-337.7422563914314,23.822758612399618,1.0,0.0002,0.0002
12,-268.8588715989932,53.67508425650129,-320.1524857015761,3.628032719452193,1.0,0.0002,0.0002
13,-269.1181667356122,49.747904481336576,-369.13565084375546,49.61278115833232,1.0,0.0002,0.0002
14,-266.8246865761307,55.76248838238266,-398.9540334311899,70.04233895098608,1.0,0.0002,0.0002
15,-281.6780387861039,54.18990062024436,-337.72971243742364,24.82099816143498,1.0,0.0002,0.0002
16,-250.5024228375702,55.40435237792195,-334.2766614413473,31.20083167418965,0.9996264630198389,0.0002,0.0002
17,-223.46612265115448,53.086970447136224,-299.7528102339932,47.29518737549147,0.931352203868183,0.0002,0.0002
